	bitscore
913	135.0
914	135.0
915	135.0
916	135.0
917	135.0
918	135.0
919	135.0
920	135.0
921	136.0
922	136.0
923	136.0
924	136.0
925	136.0
926	136.0
927	136.0
928	136.0
929	136.0
930	136.0
931	136.0
932	136.0
933	136.0
934	136.0
935	136.0
936	136.0
937	136.0
938	136.0
939	136.0
940	136.0
941	137.0
942	137.0
943	137.0
944	137.0
945	137.0
946	137.0
947	137.0
948	137.0
949	137.0
950	137.0
951	137.0
952	137.0
953	137.0
954	137.0
955	137.0
956	137.0
957	138.0
958	138.0
959	138.0
960	138.0
961	138.0
962	138.0
963	138.0
964	138.0
965	138.0
966	138.0
967	138.0
968	138.0
969	139.0
970	139.0
971	139.0
972	139.0
973	139.0
974	139.0
975	139.0
976	139.0
977	139.0
978	139.0
979	139.0
980	139.0
981	139.0
982	139.0
983	139.0
984	139.0
985	139.0
986	139.0
987	139.0
988	139.0
989	140.0
990	140.0
991	140.0
992	140.0
993	140.0
994	140.0
995	140.0
996	140.0
997	140.0
998	140.0
999	140.0
1000	140.0
1001	140.0
1002	140.0
1003	140.0
1004	140.0
1005	140.0
1006	140.0
1007	141.0
1008	141.0
1009	141.0
1010	141.0
1011	141.0
1012	141.0
1013	141.0
1014	141.0
1015	141.0
1016	141.0
1017	141.0
1018	141.0
1019	141.0
1020	142.0
1021	142.0
1022	142.0
1023	142.0
1024	142.0
1025	142.0
1026	142.0
1027	142.0
1028	142.0
1029	142.0
1030	142.0
1031	142.0
1032	142.0
1033	142.0
1034	142.0
1035	142.0
1036	142.0
1037	142.0
1038	142.0
1039	143.0
1040	143.0
1041	143.0
1042	143.0
1043	143.0
1044	143.0
1045	143.0
1046	143.0
1047	143.0
1048	143.0
1049	143.0
1050	143.0
1051	143.0
1052	144.0
1053	144.0
1054	144.0
1055	144.0
1056	144.0
1057	144.0
1058	144.0
1059	144.0
1060	144.0
1061	144.0
1062	144.0
1063	144.0
1064	144.0
1065	144.0
1066	144.0
1067	144.0
1068	144.0
1069	144.0
1070	144.0
1071	144.0
1072	144.0
1073	144.0
1074	145.0
1075	145.0
1076	145.0
1077	145.0
1078	145.0
1079	145.0
1080	145.0
1081	145.0
1082	145.0
1083	145.0
1084	145.0
1085	145.0
1086	145.0
1087	145.0
1088	145.0
1089	145.0
1090	145.0
1091	145.0
1092	145.0
1093	145.0
1094	145.0
1095	145.0
1096	145.0
1097	145.0
1098	145.0
1099	146.0
1100	146.0
1101	146.0
1102	146.0
1103	146.0
1104	146.0
1105	146.0
1106	146.0
1107	146.0
1108	146.0
1109	146.0
1110	146.0
1111	146.0
1112	146.0
1113	147.0
1114	147.0
1115	147.0
1116	147.0
1117	147.0
1118	147.0
1119	147.0
1120	147.0
1121	147.0
1122	147.0
1123	147.0
1124	147.0
1125	147.0
1126	147.0
1127	147.0
1128	148.0
1129	148.0
1130	148.0
1131	148.0
1132	148.0
1133	148.0
1134	148.0
1135	148.0
1136	148.0
1137	148.0
1138	148.0
1139	148.0
1140	148.0
1141	148.0
1142	148.0
1143	148.0
1144	148.0
1145	148.0
1146	149.0
1147	149.0
1148	149.0
1149	149.0
1150	149.0
1151	149.0
1152	149.0
1153	149.0
1154	149.0
1155	150.0
1156	150.0
1157	150.0
1158	150.0
1159	150.0
1160	150.0
1161	150.0
1162	150.0
1163	150.0
1164	150.0
1165	150.0
1166	150.0
1167	150.0
1168	150.0
1169	150.0
1170	150.0
1171	150.0
1172	150.0
1173	150.0
1174	150.0
1175	150.0
1176	151.0
1177	151.0
1178	151.0
1179	151.0
1180	151.0
1181	151.0
1182	151.0
1183	151.0
1184	151.0
1185	151.0
1186	151.0
1187	151.0
1188	151.0
1189	151.0
1190	151.0
1191	152.0
1192	152.0
1193	152.0
1194	152.0
1195	152.0
1196	152.0
1197	152.0
1198	152.0
1199	152.0
1200	152.0
1201	152.0
1202	152.0
1203	152.0
1204	152.0
1205	152.0
1206	152.0
1207	152.0
1208	152.0
1209	152.0
1210	152.0
1211	152.0
1212	152.0
1213	152.0
1214	152.0
1215	152.0
1216	152.0
1217	152.0
1218	152.0
1219	152.0
1220	153.0
1221	153.0
1222	153.0
1223	153.0
1224	153.0
1225	153.0
1226	153.0
1227	153.0
1228	153.0
1229	153.0
1230	153.0
1231	153.0
1232	153.0
1233	153.0
1234	153.0
1235	153.0
1236	154.0
1237	154.0
1238	154.0
1239	154.0
1240	154.0
1241	154.0
1242	154.0
1243	154.0
1244	154.0
1245	154.0
1246	154.0
1247	154.0
1248	154.0
1249	154.0
1250	154.0
1251	154.0
1252	154.0
1253	154.0
1254	155.0
1255	155.0
1256	155.0
1257	155.0
1258	155.0
1259	155.0
1260	155.0
1261	155.0
1262	155.0
1263	155.0
1264	155.0
1265	155.0
1266	155.0
1267	155.0
1268	155.0
1269	155.0
1270	155.0
1271	155.0
1272	155.0
1273	155.0
1274	155.0
1275	155.0
1276	155.0
1277	155.0
1278	155.0
1279	155.0
1280	156.0
1281	156.0
1282	156.0
1283	156.0
1284	156.0
1285	156.0
1286	156.0
1287	156.0
1288	156.0
1289	156.0
1290	156.0
1291	156.0
1292	156.0
1293	156.0
1294	156.0
1295	156.0
1296	156.0
1297	156.0
1298	156.0
1299	157.0
1300	157.0
1301	157.0
1302	157.0
1303	157.0
1304	157.0
1305	157.0
1306	157.0
1307	157.0
1308	157.0
1309	157.0
1310	157.0
1311	157.0
1312	157.0
1313	157.0
1314	157.0
1315	157.0
1316	157.0
1317	157.0
1318	157.0
1319	157.0
1320	157.0
1321	157.0
1322	157.0
1323	157.0
1324	157.0
1325	157.0
1326	157.0
1327	157.0
1328	158.0
1329	158.0
1330	158.0
1331	158.0
1332	158.0
1333	158.0
1334	158.0
1335	158.0
1336	159.0
1337	159.0
1338	159.0
1339	159.0
1340	159.0
1341	159.0
1342	159.0
1343	159.0
1344	159.0
1345	159.0
1346	159.0
1347	159.0
1348	159.0
1349	159.0
1350	159.0
1351	159.0
1352	159.0
1353	159.0
1354	159.0
1355	159.0
1356	159.0
1357	159.0
1358	159.0
1359	159.0
1360	159.0
1361	159.0
1362	160.0
1363	160.0
1364	160.0
1365	160.0
1366	160.0
1367	160.0
1368	160.0
1369	160.0
1370	160.0
1371	160.0
1372	160.0
1373	160.0
1374	160.0
1375	160.0
1376	160.0
