	evalue
11558	0.0
11561	0.0
5036	0.0
5035	0.0
11562	0.0
5033	0.0
11515	0.0
11514	0.0
11513	0.0
5074	0.0
11469	0.0
11472	0.0
5098	0.0
22832	0.0
11477	0.0
11480	0.0
11481	0.0
11483	0.0
11488	0.0
21439	0.0
11493	0.0
11463	0.0
11494	0.0
22837	0.0
11496	0.0
5084	0.0
22838	0.0
11500	0.0
22841	0.0
11505	0.0
11507	0.0
11511	0.0
5076	0.0
11512	0.0
11495	0.0
5169	0.0
4881	0.0
4879	0.0
4705	0.0
4704	0.0
4703	0.0
12020	0.0
21288	0.0
21287	0.0
12027	0.0
12029	0.0
12030	0.0
21285	0.0
12035	0.0
12039	0.0
21281	0.0
12043	0.0
4688	0.0
12045	0.0
12047	0.0
12050	0.0
12053	0.0
22928	0.0
12058	0.0
12062	0.0
12063	0.0
4706	0.0
12069	0.0
4707	0.0
22921	0.0
11981	0.0
4736	0.0
11982	0.0
4734	0.0
4732	0.0
11984	0.0
4730	0.0
11985	0.0
4728	0.0
11987	0.0
11992	0.0
11993	0.0
11998	0.0
22917	0.0
4720	0.0
4719	0.0
12005	0.0
12006	0.0
4716	0.0
12007	0.0
4713	0.0
12010	0.0
12012	0.0
12015	0.0
12070	0.0
12071	0.0
12072	0.0
4632	0.0
4631	0.0
12144	0.0
12145	0.0
21258	0.0
21251	0.0
4626	0.0
12155	0.0
12156	0.0
12159	0.0
4622	0.0
21250	0.0
21249	0.0
4617	0.0
12175	0.0
4615	0.0
12178	0.0
4612	0.0
4611	0.0
12180	0.0
12185	0.0
12187	0.0
21239	0.0
12143	0.0
4634	0.0
12142	0.0
12141	0.0
21278	0.0
12078	0.0
12081	0.0
12099	0.0
4666	0.0
12100	0.0
12101	0.0
4663	0.0
4662	0.0
21269	0.0
4659	0.0
11979	0.0
22933	0.0
12112	0.0
4651	0.0
12123	0.0
4647	0.0
4646	0.0
21264	0.0
12128	0.0
21263	0.0
21261	0.0
22939	0.0
12136	0.0
12106	0.0
4740	0.0
21299	0.0
21300	0.0
21334	0.0
21333	0.0
11845	0.0
11846	0.0
11847	0.0
4829	0.0
11849	0.0
4827	0.0
4826	0.0
11851	0.0
4824	0.0
11853	0.0
11856	0.0
4821	0.0
22893	0.0
4819	0.0
4818	0.0
4817	0.0
21332	0.0
11861	0.0
11863	0.0
11864	0.0
11866	0.0
4836	0.0
11835	0.0
11830	0.0
11827	0.0
21368	0.0
11774	0.0
11777	0.0
4874	0.0
4871	0.0
11778	0.0
4869	0.0
4867	0.0
21361	0.0
11783	0.0
21357	0.0
22895	0.0
11787	0.0
21356	0.0
4858	0.0
21355	0.0
11794	0.0
11795	0.0
22887	0.0
11797	0.0
4848	0.0
11800	0.0
4843	0.0
21338	0.0
22884	0.0
4880	0.0
21330	0.0
11876	0.0
11935	0.0
11937	0.0
11939	0.0
22906	0.0
11940	0.0
11941	0.0
21305	0.0
11948	0.0
22911	0.0
11951	0.0
4756	0.0
11954	0.0
11957	0.0
4753	0.0
4751	0.0
4750	0.0
4749	0.0
4748	0.0
21301	0.0
11967	0.0
11968	0.0
11970	0.0
4743	0.0
4770	0.0
4771	0.0
11933	0.0
4773	0.0
22897	0.0
22899	0.0
22900	0.0
11879	0.0
22902	0.0
11880	0.0
21328	0.0
21327	0.0
4797	0.0
11885	0.0
11887	0.0
11872	0.0
11897	0.0
4789	0.0
11901	0.0
4787	0.0
11904	0.0
4785	0.0
4784	0.0
11907	0.0
11911	0.0
11912	0.0
4779	0.0
11919	0.0
11898	0.0
12189	0.0
5170	0.0
11384	0.0
21570	0.0
5536	0.0
10900	0.0
10901	0.0
21567	0.0
10903	0.0
10904	0.0
5529	0.0
5527	0.0
5526	0.0
10907	0.0
5524	0.0
5523	0.0
5522	0.0
10909	0.0
5519	0.0
5518	0.0
5516	0.0
10917	0.0
10918	0.0
10919	0.0
5510	0.0
10924	0.0
5538	0.0
5508	0.0
5539	0.0
10883	0.0
21580	0.0
5568	0.0
10830	0.0
10831	0.0
