transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-26167.0_A1.NODE_53364_length_3138_cov_14.055031_g20741_i0	28.1862163893966	-8.1669507235535	1.59431587513985	-5.1225424339685	3.01443228583133e-07	0.000443219911702322
Cluster-26642.0_A1.NODE_36935_length_4173_cov_7.756454_g14782_i0	23.7614836503127	-5.21023671811783	0.965016979384538	-5.39911403573519	6.69707966970197e-08	0.000112705395824535
Cluster-28093.0_A1.NODE_44023_length_3666_cov_7.472353_g17356_i0	17.8055640080566	-5.80865610160989	1.38263387074419	-4.20115275961194	2.65559321281501e-05	0.0233293028653593
Cluster-3074.0_A0.TRINITY_DN142672_c0_g1_i1	10.7521027864818	-6.77359582892583	1.56304113723935	-4.33360048404701	1.46690278911449e-05	0.0138444897625879
Cluster-34489.0_A1.NODE_81373_length_2082_cov_37.262035_g31991_i0	51.3700469058191	-5.12953678634601	1.17259170891845	-4.37452929892988	1.21694778397809e-05	0.0119707382685806
Cluster-36971.0_A1.NODE_110264_length_1449_cov_5.265557_g47880_i0	4.55682865714456	-4.92376210814625	1.2300738310438	-4.00281835438132	6.25923588354486e-05	0.045774676829813
Cluster-38543.0_A1.NODE_122587_length_1271_cov_10.155316_g56080_i0	8.09517054335139	-5.17362507880955	1.13952003132506	-4.54017914261105	5.62064521788311e-06	0.00590298755397842
Cluster-39862.0_A0.TRINITY_DN22396_c0_g2_i1	6.39921328584357	-6.03347595552616	1.50715693342685	-4.00321679959879	6.24869908146781e-05	0.045774676829813
Cluster-52680.0_A1.NODE_100073_length_1630_cov_3.915547_g41767_i0	4.87965683959578	5.90947508134299	1.12335424649014	5.26056237362952	1.43615475446054e-07	0.000220443442041541
Cluster-54285.0_A1.NODE_110063_length_1452_cov_19.024549_g47766_i0	15.3270979318959	-2.67196405645688	0.557068207889399	-4.79647558165332	1.61481631910971e-06	0.00205053780245057
Cluster-69055.0_A1.NODE_82186_length_2057_cov_46.755276_g32358_i0	64.1675852263717	6.60722799008492	1.58120657715835	4.17859885326245	2.93310505503143e-05	0.0254471457883134
Cluster-73790.1_A0.TRINITY_DN905_c0_g1_i13	78.5704132830334	9.91231000048919	1.6658232483213	5.95039720479234	2.67492529410892e-09	5.41501797110766e-06
Cluster-80718.1026_A0.TRINITY_DN11806_c0_g1_i2	16.7986330372451	-7.41831796340145	1.60619687008053	-4.61856083870311	3.8641069050598e-06	0.00431793853284527
Cluster-80718.10349_A0.TRINITY_DN2277_c0_g1_i15	11.9890120044705	-6.93337387581684	1.6913810364448	-4.09923827122388	4.14512127275594e-05	0.0336624816569664
Cluster-80718.10625_A1.NODE_17068_length_6428_cov_120.168213_g7615_i0	504.807569141676	-25.4059078022515	3.02624803744135	-8.39518356986092	4.65166916967354e-17	1.08291633548195e-12
Cluster-80718.10643_A1.NODE_33197_length_4473_cov_76.276441_g6370_i1	196.890229026287	-6.56512953044878	1.31093189124033	-5.00798674158213	5.500232249404e-07	0.000776038324069697
Cluster-80718.11904_A1.NODE_24665_length_5350_cov_72.057164_g7356_i1	89.7341219468117	-2.44391212510034	0.431945600328507	-5.65791646735533	1.53221672698906e-08	2.89218330598052e-05
Cluster-80718.11905_A1.NODE_71530_length_2380_cov_43.043666_g27864_i0	65.2472605005752	-1.94757116050265	0.347409317439884	-5.60598424606059	2.07074798225051e-08	3.8058440645886e-05
Cluster-80718.11921_A1.NODE_61546_length_2765_cov_34.509637_g23858_i0	60.9180143048262	-8.69898698050112	1.82117125700923	-4.77658921258553	1.78293472816011e-06	0.00222359023003689
Cluster-80718.12144_A1.NODE_6203_length_9451_cov_205.071611_g3330_i0	199.818164919235	-24.9076032180821	3.02634168428349	-8.23026803200483	1.86795000931267e-16	2.60917125250803e-12
Cluster-80718.12195_A0.TRINITY_DN3817_c0_g1_i2	85.2958830483046	10.0307402603949	1.69699478457655	5.91088455401342	3.40275462566886e-09	6.79000241240074e-06
Cluster-80718.12195_A1.NODE_5560_length_9765_cov_167.884512_g2974_i1	46.0239231394888	23.8661736473311	2.97307877879105	8.02742726414935	9.95379464038299e-16	6.76301996900314e-12
Cluster-80718.12561_A0.TRINITY_DN95226_c0_g1_i2	1256.54013913311	1.3023577370714	0.327030675260916	3.98237179442673	6.82309323001997e-05	0.0478922857016291
Cluster-80718.12647_A0.TRINITY_DN2651_c1_g1_i10	28.3890547518462	-22.1957511601252	2.96475237593463	-7.48654469098049	7.0710474138801e-14	1.82905735892257e-10
Cluster-80718.12848_A0.TRINITY_DN3182_c0_g2_i14	45.4346601400052	23.8466148010423	2.95602380017912	8.0671254404641	7.19725923799316e-16	6.16524119788521e-12
