baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NODE_10939_length_6073_cov_11.536963_g3928_i0	81.4571544812934	-4.87722785113396	0.53570449205807	-9.10432509609285	8.68044443134465e-20	8.2349061534985e-16
NODE_109534_length_1522_cov_11.346392_g43889_i0	23.1933740576345	6.16288597927389	1.15457864167043	5.33777930480119	9.4091889735371e-08	0.000191276714303329
NODE_113230_length_1471_cov_141.961538_g42187_i1	41.0918697017527	-2.40641352896706	0.544216388633523	-4.42179540937629	9.78841197711834e-06	0.00901286174567066
NODE_113803_length_1463_cov_89.829513_g46252_i0	28.2176770329154	-6.41968079419042	1.45165857944363	-4.4223076177119	9.76522882570374e-06	0.00901286174567066
NODE_114131_length_1459_cov_6.501437_g46430_i0	11.7503395643521	-6.02032981784472	1.41602235143141	-4.25157824080881	2.12269326391211e-05	0.0158147316307831
NODE_114669_length_1451_cov_673.469653_g10612_i1	22.983165548662	8.01505729721343	1.32924472969023	6.02978301751946	1.64179961509825e-09	4.86728597975199e-06
NODE_115143_length_1445_cov_10.336720_g47014_i0	13.0709195423928	-4.68743587269247	1.09780379759799	-4.26983025832906	1.95621787698175e-05	0.0151289000061076
NODE_116603_length_1426_cov_51.641648_g47904_i0	127.715625802073	-6.25094917447352	1.58416912085483	-3.94588500191222	7.95057679783726e-05	0.0447183805892901
NODE_11681_length_5929_cov_13.905493_g4176_i0	107.487561716472	2.25125201866138	0.560701036819357	4.01506662343961	5.94290049528163e-05	0.036295308299531
NODE_117034_length_1420_cov_2151.171471_g15898_i8	219.993748308365	-4.6674327129463	1.18263324516499	-3.94664426357736	7.92541760436402e-05	0.0447183805892901
NODE_117140_length_1419_cov_133.060651_g38971_i1	22.0937310543146	6.98641679883984	1.30681993074528	5.34612048260963	8.98594054252905e-08	0.00018804534193271
NODE_117353_length_1417_cov_5.588148_g48346_i0	11.0430660977507	-5.02567367147887	1.28030363355692	-3.92537640271834	8.65942243029628e-05	0.0477847737597912
NODE_119485_length_1389_cov_531.887292_g955_i39	8.61053795256288	6.60198720129654	1.44976290780161	4.55383922831056	5.26756190799588e-06	0.00567863126567971
NODE_120031_length_1383_cov_9.180851_g29147_i2	23.2720649475357	3.11000077406478	0.695769267379805	4.46987373526387	7.82657871451219e-06	0.00752520255171486
NODE_120573_length_1376_cov_13.254393_g50312_i0	21.5306414169699	4.47022084030373	1.01499006434478	4.40420157530256	1.06174185844236e-05	0.00962337122281564
NODE_121064_length_1370_cov_31.789716_g16341_i1	16.5523785021083	-5.00801631310058	1.104314405544	-4.53495516128267	5.76157242121642e-06	0.00598450742417166
NODE_123167_length_1343_cov_699.532915_g51896_i0	132.596222265253	6.67477485304258	0.61650839220793	10.8267380256381	2.57153457958213e-27	4.57414927761395e-23
NODE_125005_length_1323_cov_1.777070_g53028_i0	15.6149852487268	-7.41091350335519	1.60032690024104	-4.63087479329316	3.64124023205821e-06	0.00424714857591898
NODE_126084_length_1310_cov_54.286404_g28788_i2	12.7499404146934	-7.11380339466917	1.51782786307253	-4.68683146998551	2.77467266569502e-06	0.00343337995653102
NODE_126588_length_1304_cov_36.164915_g46624_i1	17.636773807788	-7.5846057291656	1.31952828869278	-5.74796750790349	9.03225901137211e-09	2.1784737111479e-05
NODE_1266_length_10825_cov_151.326362_g538_i0	592.812466766271	6.21242557810319	0.534612488332714	11.6204273444449	3.24508968943451e-31	7.69632513160367e-27
NODE_12689_length_5757_cov_363.106854_g0_i36	95.9410308748723	1.71358372426083	0.430939175496927	3.97639347196701	6.99683205013106e-05	0.0409735060726626
NODE_12762_length_5745_cov_24.382881_g4509_i0	177.396157300156	2.90282764328851	0.442454358567228	6.56073917474459	5.35417014284919e-11	2.17686790142166e-07
NODE_12778_length_5743_cov_123.453841_g4451_i1	344.085076022517	11.9219027520713	1.23280443860474	9.67055469524777	4.02192178292267e-22	5.72323491631679e-18
NODE_128367_length_1284_cov_107.040263_g55175_i0	151.603648293428	-2.14701709920082	0.442767819710198	-4.84908117443154	1.24034659816079e-06	0.00171361709965902
NODE_129944_length_1267_cov_185.318333_g3824_i4	104.14191108946	2.88678779581038	0.61661833587967	4.68164442708645	2.84582789858086e-06	0.00349107030858581
